Timestamp,Email Address,Full Name,Registered Email ID,College Name,Rate your experience with the overall event,Rate the activity-1,Rate the following activity-2,Rate the following activity-3,Rate the following activity-4
2024-01-31 08:30:00,johndoe@example.com,John Doe,johndoe@example.com,University A,5,4,5,3,5
2024-01-31 09:15:00,ellajohnson@example.com,Ella Johnson,ellajohnson@example.com,University A,4,5,3,4,4
2024-01-31 10:00:00,janesmith@example.com,Jane Smith,janesmith@example.com,College B,4,4,4,5,4
2024-01-31 10:45:00,evandavis@example.com,Evan Davis,evandavis@example.com,College B,3,3,4,5,3
2024-01-31 11:30:00,michaeljohnson@example.com,Michael Johnson,michaeljohnson@example.com,Institute C,5,5,5,5,5
2024-01-31 12:15:00,sophiawilson@example.com,Sophia Wilson,sophiawilson@example.com,Institute C,4,3,5,4,4
2024-01-31 13:00:00,lucassmith@example.com,Lucas Smith,lucassmith@example.com,University D,5,4,5,4,5
2024-01-31 13:45:00,averywhite@example.com,Avery White,averywhite@example.com,College E,3,5,4,3,3
2024-01-31 14:30:00,owenmiller@example.com,Owen Miller,owenmiller@example.com,Institute F,4,4,3,5,4
2024-01-31 15:15:00,ariaclark@example.com,Aria Clark,ariaclark@example.com,University G,5,5,4,5,5
2024-01-31 16:00:00,leobrown@example.com,Leo Brown,leobrown@example.com,College H,4,3,5,4,4
2024-01-31 16:45:00,miahall@example.com,Mia Hall,miahall@example.com,Institute I,5,4,4,5,5
2024-01-31 17:30:00,isaactaylor@example.com,Isaac Taylor,isaactaylor@example.com,University J,3,5,3,4,3
2024-01-31 18:15:00,laylamoore@example.com,Layla Moore,laylamoore@example.com,College K,4,4,5,5,4
2024-01-31 19:00:00,carteranderson@example.com,Carter Anderson,carteranderson@example.com,Institute L,5,3,4,5,5
2024-01-31 19:45:00,novawalker@example.com,Nova Walker,novawalker@example.com,University M,4,4,5,3,4
2024-01-31 20:30:00,elijahwilson@example.com,Elijah Wilson,elijahwilson@example.com,College N,5,5,4,4,5
2024-01-31 21:15:00,zaramartinez@example.com,Zara Martinez,zaramartinez@example.com,Institute O,3,4,5,5,3
2024-01-31 22:00:00,henrygarcia@example.com,Henry Garcia,henrygarcia@example.com,University P,5,3,4,5,5
2024-01-31 22:45:00,scarlettdavis@example.com,Scarlett Davis,scarlettdavis@example.com,College Q,4,5,5,4,4
2024-01-31 23:30:00,gabrielharris@example.com,Gabriel Harris,gabrielharris@example.com,Institute R,3,4,4,5,3
2024-02-01 00:15:00,ameliajackson@example.com,Amelia Jackson,ameliajacksonn@example.com,University S,5,5,3,4,5
2024-02-01 01:00:00,loganbrown@example.com,Logan Brown,loganbrown@example.com,College T,4,4,5,5,4
2024-02-01 01:45:00,aurorataylor@example.com,Aurora Taylor,aurorataylor@example.com,Institute U,5,3,4,5,5
2024-02-01 02:30:00,jackielee@example.com,Jackie Lee,jackielee@example.com,University V,3,5,5,4,3
2024-02-01 03:15:00,norawilson@example.com,Nora Wilson,norawilsonn@example.com,College W,4,4,3,5,4
2024-02-01 04:00:00,isaiahmiller@example.com,Isaiah Miller,isaiahmiller@example.com,Institute X,5,5,4,4,5
2024-02-01 04:45:00,stellahall@example.com,Stella Hall,stellahall@example.com,University Y,4,3,5,5,4
2024-02-01 05:30:00,calebanderson@example.com,Caleb Anderson,calebanderson@example.com,College Z,5,4,4,5,5
2024-02-01 06:15:00,hazelthomas@example.com,Hazel Thomas,hazelthomas@example.com,Institute AA,3,5,5,4,3
2024-02-01 07:00:00,dylanmartin@example.com,Dylan Martin,dylanmartin@example.com,University BB,4,4,3,5,4
2024-02-01 07:45:00,sophiejohnson@example.com,Sophie Johnson,sophiejohnson@example.com,College CC,5,5,4,5,5
